,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,2293,2293,2383,2404,2426,2442,2457,2467,2449,2449,2495,2580,2682,2712,2798,2954,3376,3600
2,41,66,24,20,7,19,22,32,44,46,77,110,38,84,156,422,224,0
3,54,40,19,12,25,37,76,110,83,79,106,104,117,100,163,224,0,0
4,167,98,96,138,198,370,364,277,257,238,200,148,204,418,483,0,0,0
5,1045,1103,1078,1026,944,732,681,714,767,788,722,658,559,286,0,0,0,0
1,4053,4053,4507,4665,4978,5299,5607,5766,5626,5630,5947,6569,7299,8194,9715,13986,16100,16100
2,171,305,157,158,7,153,158,168,307,320,629,744,905,1521,3818,2114,0,0
3,161,162,5,155,314,155,450,1333,1209,1200,1181,1767,2985,3214,453,0,0,0
4,773,316,319,468,911,2695,2855,2886,3008,2245,3542,6432,4307,2114,2114,0,0,0
5,10942,11264,11112,10654,9890,7798,7030,5947,5950,6705,4801,588,604,1057,0,0,0,0
1,1169,1169,1222,1256,1272,1298,1312,1309,1295,1295,1318,1337,1399,1453,1619,1995,2515,2640
2,32,46,35,16,40,24,6,23,31,23,29,77,57,168,366,320,125,0
3,52,35,5,12,7,12,48,70,63,70,101,174,270,328,190,200,0,0
4,162,60,96,140,153,188,187,189,198,259,344,408,658,416,315,125,0,0
5,1225,1330,1282,1216,1168,1118,1087,1049,1053,993,848,644,256,275,150,0,0,0
1,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7875,7875,8250,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
2,525,375,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1677,1677,1788,1822,1880,1898,1893,1873,1804,1804,1807,1835,1919,2027,2196,2486,3300,3300
2,50,85,33,36,3,25,52,46,72,3,28,85,109,169,290,814,0,0
3,49,30,21,26,39,65,87,95,8,77,67,96,216,246,799,0,0,0
4,163,132,124,167,241,273,345,363,428,197,387,492,770,858,15,0,0,0
5,1361,1376,1334,1249,1137,1039,923,923,988,1219,1011,792,286,0,0,0,0,0
1,3266,3266,3494,3547,3602,3657,3735,3850,3937,3937,3982,4064,4158,4309,4797,5500,5500,5500
2,176,220,53,45,46,78,115,148,61,45,82,94,151,488,703,0,0,0
3,102,51,38,10,9,12,135,381,238,254,184,306,1191,703,0,0,0,0
4,742,299,205,272,385,545,812,418,524,302,1097,1036,0,0,0,0,0,0
5,1214,1664,1710,1626,1458,1208,703,703,740,962,155,0,0,0,0,0,0,0
1,2726,2726,2813,2843,2877,2879,2875,2879,2860,2860,2883,2908,2935,2971,3059,3300,3300,3300
2,75,87,30,34,1,4,12,11,30,23,25,27,36,88,241,0,0,0
3,78,44,19,1,10,28,71,88,44,51,44,71,118,161,0,0,0,0
4,106,74,60,62,88,164,162,142,177,89,134,182,211,80,0,0,0,0
5,315,369,378,360,324,225,180,180,189,277,214,112,0,0,0,0,0,0
1,5453,5453,6549,6410,6266,6278,6292,6303,6150,6150,6464,6790,7276,9781,12404,15438,15438,15438
2,467,1096,12,161,157,10,9,6,159,314,326,486,2505,2623,3034,0,0,0
3,634,4,3,5,166,315,473,633,629,474,1250,4058,5507,3034,0,0,0,0
4,1260,939,954,646,808,2971,5539,5335,5310,4855,7398,4104,150,0,0,0,0,0
5,7624,7946,7920,8216,8041,5864,3125,3161,3190,3645,0,0,0,0,0,0,0,0
1,12055,12055,12375,13163,15196,16600,16600,15368,13212,12904,12904,12904,13520,14136,16292,16600,16600,16600
2,1731,320,788,785,1092,0,0,1232,1232,308,0,616,616,2156,308,0,0,0
3,627,787,2,1248,312,0,0,0,924,616,924,616,924,308,0,0,0,0
4,2058,1252,1719,1404,0,0,0,0,1232,2772,1848,2464,1540,0,0,0,0,0
5,129,2186,1716,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0
1,2392,2392,2442,2560,2700,3140,3200,3200,3200,3200,3000,3000,2920,2920,3040,3200,3200,3200
2,242,50,118,100,120,60,0,0,0,0,200,0,80,120,160,0,0,0
3,186,132,20,40,320,0,0,0,0,0,0,200,80,40,0,0,0,0
4,280,66,180,300,60,0,0,0,0,0,0,0,120,120,0,0,0,0
5,100,560,440,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
